MPID,person_id,name_en,name_my
LWMP-02-0001,8c8bb8dd642e437a9d233f2ecaf84560,Shwe Hla Kyaing,ရွှေလှကြိုင်
LWMP-02-0002,f1f69ac146dc4b06b571a7cd993325a9,Yan Lin,ရန်လင်း
LWMP-02-0003,caf74e5ad56e4790a34c6ae5500b779c,Soe Aung Naing,စိုးအောင်နိုင်
LWMP-02-0004,07095818a4454c4d80fe89139ed920ca,Thein Tun,သိန်းထွန်း
LWMP-02-0005,1974aac1cf99466aa596ccf270572365,Tun Lin Maw,ထွန်းလင်းမော်
LWMP-02-0006,adbb49f5a61242e699d557597322cbb5,Than Aung,သန်းအောင်
LWMP-02-0007,81ef45bbfd5e480d9aa0540ffc139707,Aung Min,အောင်မင်း
LWMP-02-0008,8d2848313e574e3bb75930d8124b62d6,Ohn Lwin,အုန်းလွင်
LWMP-02-0009,8308e095315146d29635be46aa519558,Khin Nyo,ဒေါ်ခင်ညို
LWMP-02-0010,02f617cbf1b848aca3ecab2cb6ee4a0b,Tin Hla,တင်လှ
LWMP-02-0011,8b1500697121446aab69fe1c2bea2480,Nyunt Thein,မန်းညွန့်သိန်း
LWMP-02-0012,e97aa282988e43228e662cabfbe09baa,Wai Hlaing Tun,ဝေလှိုင်ထွန်း
LWMP-02-0013,308903e9d3e34752a10e0bda03ebfb5c,Win Htut,ဝင်းထွဋ်
LWMP-02-0014,5638246462044b24a55be1796ba061ec,Min Thaing,မင်းသိုင်း
LWMP-02-0015,c6dfa897d15f41f68260b83ba3c3f10c,Khin Maung Latt,ခင်မောင်လတ်
LWMP-02-0016,0afc2806c88e434084fc194ffc899335,Soe Moe Thu,စိုးမိုးသူ
LWMP-02-0017,14f4e9fc9fb045a1b8f05b778dec6792,Sein Win,စိန်ဝင်း
LWMP-02-0018,f0d9d43f296f4a2ba1ba27788f64451c,Win Swe,ဝင်းဆွေ
LWMP-02-0019,eb13ad212d6b46988bbec1c33fc3efb5,San Shwe Win,စံရွှေဝင်း
LWMP-02-0020,b2575d87d59f4d06a814b9a1a9b9b2b1,Aye Kyu,အေးကြူ
LWMP-02-0021,5429bbe872b646e4acae2a9d1480e76b,Zaw Min Thein,ဇော်မင်းသိန်း
LWMP-02-0022,0e9479a395674983accf4f9339f97b7d,Zaw Thein,ဇော်သိန်း
LWMP-02-0023,97e6f24caf6e456fae17a3df9ff9c6e8,Thein Tun,သိန်းထွန်း
LWMP-02-0024,6908e22f84a745558c2513e6d78015ff,Khin Maung Yee,ခင်မောင်ရီ
LWMP-02-0025,ae64e7101eaa40fdac1db4adfc5dfec8,Aye Win,အေးဝင်း
LWMP-02-0026,f92fa166ae4049a887814ec6537b02c7,Thandar,သန္တာ
LWMP-02-0027,cb44dc55c7064676ba7bfae9026a7835,Myint Ngwe,မြင့်ငွေ
LWMP-02-0028,74a7093da14c476abf145baa41de1b7b,Khin Maung Oo,ခင်မောင်
LWMP-02-0029,826ff0490480451697a7358ea2958e75,Htay Min Thein,ဌေးမင်းသိန်း
LWMP-02-0030,42e4d1919c53436092d440c6b68bed27,Hla Than,လှသန်း
LWMP-02-0031,834b1e12a06b4743b6063a0fc64880d6,Nyan Tun,ဉာဏ်ထွန်း
LWMP-02-0032,b10d6a8d6b6742cbb7d20c2e9c2b226e,Myint Thein,မြင့်သိန်း
LWMP-02-0033,f903d66a32734a19a2dfa3b1765014f3,Khin Maung Than,ခင်မောင်သန်း
LWMP-02-0034,29b6641eb335449ea793c64addd4c53f,Zaw Win,ဇော်ဝင်း
LWMP-02-0035,0929773bf22f407eb8d619abe83e8500,Phone Myint Aung,ဘုန်းမြင့်အောင်
LWMP-02-0036,d469d17ce67648c89ce56449e0f4d4ee,Khin Aye,ခင်အေး
LWMP-02-0037,f907123c310b41ff902e49224e99ac31,Khin Hnin Thit,ခင်နှင်းသစ်
LWMP-02-0038,2d43c0ecf92a4aa8b55cf3bc37b4f4ec,Khin Soe Soe Kyi,ခင်စိုးစိုးကြည်
LWMP-02-0039,3e0d715a19174ddd8faac0c580b217a9,Ni Ni Doon,နီနီဒွန်း
LWMP-02-0040,6bc689a0d1414fc8b2d021b48f82d0e7,Aye Min Aung,အေးမင်းအောင်
LWMP-02-0041,126b1b8844c748b4b5fa027895bea8f1,Shwe Pone,ရွှေပုံ
LWMP-02-0042,16c664c67ed44f7a9aebea17f336eff5,Than Nyunt,သန်းညွန့်
LWMP-02-0043,d115491f2d584acda0f4acb851b34f85,Than Aung Soe,သန်းအောင်စိုး
LWMP-02-0044,dfcc68a9fa824ea4a989d5232c7b4942,Kyaw Myo Min,ကျော်မျိုးမင်း
LWMP-02-0045,7647fb483bb44ad98060b0029b5a4165,Thalay Saw,စောသလေးစော
LWMP-02-0046,de778910d14b462cbbabbab3b269afe0,Mya Khwar Nyo Oo,မြခွာညိုဦး
LWMP-02-0047,81f2e83f79f149dd8d1a265ff54e1de8,Kyi Moe Naing,ကြည်မိုးနိုင်
LWMP-02-0048,19a4fe165e9a4d0f9012b33c3af88907,Kyaw Min,ကျော်မင်း
LWMP-02-0049,9dba71cfe68f4d2a8dbef4df592e5cc1,Tin Htwe,တင်ထွေး
LWMP-02-0050,ba4dedbebe154d5f8253272f042ef0b8,Myint Oo,မြင့်
LWMP-02-0051,a556ae609a774af4b3c08a375e702d1d,Aung Myint,အောင်မြင့်
LWMP-02-0052,85bd57c929c64c53af2b455dbefcd92a,Aung Than,အောင်သန်း
LWMP-02-0053,95bc2ca447c34043b4b03fd8b9d8ac04,Cho Cho,ချိုချို
LWMP-02-0054,422f05a6db884a098174ff32f7bf632a,Zaw Min,ဇော်မင်း
LWMP-02-0055,6a315979fd6747cfb6edb1adf00ef337,San Khin,စံခင်
LWMP-02-0056,59b413fe74534e6fa888aff474405250,Kham Khant Htan,ခမ်ခန့်ထန်
LWMP-02-0057,a657d9b8787b4f8db3351709d51e7c0b,Kyint Shin Htan,ကျင့်ရှင်းထန်
LWMP-02-0058,c1f2fdd8b13a45c5b818ae5712e6b310,Ni Shwe Hlan,နီရွှေလျန်း
LWMP-02-0059,ba9b2a4d448b4a4296c750a81e302592,Sein Aung,စိန်အောင်
LWMP-02-0060,235be33b76614b1689ab00f967d5a13f,Re Yanval,ဆလိုင်းရီယန်းဗဲလ်
LWMP-02-0061,6edb1ef0189743579e50b88ed43b81f4,Nay Lin Aung,နေလင်းအောင်
LWMP-02-0062,914acfc209164bd6bff1db0a711a5697,Par Htan,ပါထန်း
LWMP-02-0063,ff4162fa24f94058b3eeb65f96a85378,Hne Yar Oat,နှီယာအုပ်
LWMP-02-0064,5fe81f786c444575aaba5d8791cc9a57,Zone Taint,ဇုန်းတိန့်
LWMP-02-0065,ef2433be1e39494bbf993f9694bc70be,Armoesi,အာမိုးဆီ
LWMP-02-0066,5e5907cb60594ab2bd7c8ae65568592f,Lone Jon San Mei,လုံဂျုံဆန်မိုင်
